id,manufacturer,model,productionyear,category,leatherinterior,fueltype,enginevolume,mileage,cylinders,gearboxtype,drivewheels,doors,wheel,color,airbags,price
45771461,LEXUS,GX 460,2012,Jeep,Yes,Petrol,4.6,255406 km,8,Automatic,4x4,4,Left wheel,Black,0,54568
45751853,KIA,Optima,2012,Sedan,Yes,Petrol,2.4,150246 km,4,Automatic,Front,4,Left wheel,Brown,12,2666
45809624,TOYOTA,Aqua,2013,Hatchback,Yes,Petrol,1.5,112200 km,4,Automatic,Front,4,Left wheel,White,4,29445
45803529,HYUNDAI,Sonata,2014,Sedan,Yes,LPG,2,71466 km,4,Automatic,Front,4,Left wheel,White,4,11262
45766064,DODGE,Avenger,2012,Sedan,Yes,Petrol,3.6,198979 km,6,Automatic,Front,4,Left wheel,White,12,2195
45759934,MERCEDES-BENZ,E 240,2002,Sedan,Yes,Petrol,2.6,312000 km,6,Tiptronic,Rear,4,Right-hand drive,Silver,6,6272
45304276,TOYOTA,Prius,2014,Hatchback,No,Hybrid,1.8,107500 km,4,Variator,Front,4,Left wheel,Blue,12,18817
45550870,TOYOTA,Prius,2007,Hatchback,No,Hybrid,1.5,176000 km,4,Automatic,Front,4,Left wheel,Black,4,12858
45765797,MAZDA,CX-9,2012,Sedan,Yes,Petrol,3.7,291840 km,6,Automatic,Front,4,Left wheel,Black,12,31
44631202,HYUNDAI,Elantra,2013,Sedan,Yes,Petrol,1.6,75000 km,4,Tiptronic,Front,4,Left wheel,White,8,13172
45796743,HONDA,FIT,2012,Hatchback,Yes,Petrol,1.3,145000 km,4,Variator,Front,4,Right-hand drive,Blue,4,11604
45701584,OPEL,Astra suzuki mr wagon,2005,Hatchback,No,Petrol,0.7,167000 km,3,Automatic,Front,4,Right-hand drive,Black,2,4704
45758625,BMW,225,2004,Sedan,No,Petrol,2.5,190000 km,6,Tiptronic,Rear,4,Right-hand drive,Black,2,8467
45809298,HONDA,FIT,2015,Universal,Yes,Petrol,1.5,154691 km,4,Automatic,Front,4,Left wheel,Silver,4,7828
45728385,SSANGYONG,REXTON,2010,Jeep,Yes,Diesel,2.7,225450 km,4,Automatic,Front,4,Left wheel,Black,4,20592
45654431,HYUNDAI,Sonata,2012,Sedan,Yes,Hybrid,2.4,0 km,4,Automatic,Front,4,Left wheel,Red,0,1176
45788973,LEXUS,RX 350,2015,Jeep,Yes,Petrol,3.5,360125 km,6,Tiptronic,4x4,4,Right-hand drive,White,12,58018
45792363,BMW,X5,2009,Jeep,Yes,Diesel,3.0 Turbo,10000 km,6,Automatic,4x4,4,Left wheel,Black,12,29793
45491349,TOYOTA,Prius V,2012,Hatchback,No,Hybrid,1.8,360755 km,4,Automatic,Front,4,Left wheel,Sky blue,12,15200
44181419,TOYOTA,Aqua,2013,Hatchback,Yes,Hybrid,1.5 Turbo,55000 km,4,Automatic,Front,4,Right-hand drive,Black,12,18503
45803018,HYUNDAI,Santa FE,2019,Jeep,Yes,Diesel,2.2,13835 km,4,Automatic,Front,4,Left wheel,Grey,4,100060
45770166,LEXUS,GX 460,2017,Jeep,Yes,Petrol,4.6,69918 km,8,Automatic,4x4,4,Left wheel,White,0,470
45760481,AUDI,Q7,2011,Jeep,Yes,Diesel,3,232554 km,6,Automatic,4x4,4,Left wheel,Silver,0,392
45809953,NISSAN,March,2013,Hatchback,Yes,Petrol,1.2,107135 km,4,Automatic,Front,4,Left wheel,Black,4,4980
45803363,HYUNDAI,Sonata,2016,Sedan,Yes,LPG,2,57491 km,4,Automatic,Front,4,Left wheel,Red,4,25716
45815541,BMW,520 I,1992,Sedan,Yes,Petrol,2,300000 km,6,Manual,Rear,4,Left wheel,Green,2,4234
45729809,SSANGYONG,REXTON,2015,Jeep,Yes,Diesel,2,153862 km,4,Automatic,Front,4,Left wheel,Black,4,36197
45810144,CHEVROLET,Lacetti,2009,Sedan,Yes,Diesel,2,158267 km,4,Automatic,Front,4,Left wheel,White,4,11099
45760788,CHEVROLET,Cruze,2011,Sedan,No,Petrol,1.8,130000 km,4,Automatic,Front,4,Left wheel,Sky blue,8,12231
45771964,TOYOTA,Prius,2014,Hatchback,No,Hybrid,1.8,99040 km,4,Variator,Front,4,Left wheel,White,8,21012
45806375,CHEVROLET,Volt,2013,Hatchback,Yes,Hybrid,1.4,181360 km,4,Automatic,Front,4,Left wheel,Blue,12,706
45152393,HYUNDAI,Sonata,2011,Hatchback,No,Petrol,2.4,219200 km,4,Automatic,Front,4,Left wheel,Black,12,12544
45527158,FORD,Transit Connect,2004,Goods wagon,No,Diesel,1.8,235000 km,4,Manual,Front,4,Left wheel,White,4,7840
45816131,HYUNDAI,Santa FE,2012,Jeep,Yes,Petrol,3.5,197923 km,6,Automatic,4x4,4,Left wheel,Red,12,470
45795682,KIA,Forte,2012,Sedan,No,Petrol,2.4,92800 km,4,Tiptronic,Front,4,Left wheel,Black,10,17876
45748937,TOYOTA,Aqua,2014,Hatchback,No,Hybrid,1.5,134800 km,4,Variator,Front,4,Right-hand drive,Silver,2,10349
45569947,KIA,RIO,2012,Hatchback,No,Petrol,1.3,16000 km,4,Manual,Front,4,Left wheel,Silver,4,13799
45641167,NISSAN,Juke,2013,Jeep,Yes,Petrol,1.6,110531 km,4,Automatic,4x4,4,Left wheel,Red,0,14426
45803074,HYUNDAI,Santa FE,2013,Jeep,Yes,Diesel,2,144950 km,4,Automatic,Front,4,Left wheel,Grey,4,37232
45815120,TOYOTA,Camry,2012,Sedan,Yes,Hybrid,2.5,119765 km,4,Automatic,Front,4,Left wheel,Red,12,1568
45787452,FORD,Escape,2007,Jeep,No,Hybrid,2.3,251200 km,4,Automatic,4x4,4,Left wheel,Beige,6,11917
45804354,LEXUS,ES 300,2011,Sedan,Yes,Petrol,3.5,53467 km,4,Automatic,Front,4,Left wheel,Silver,4,21639
45773808,MERCEDES-BENZ,E 350,2011,Sedan,Yes,Diesel,3.0 Turbo,227200 km,6,Tiptronic,Rear,4,Left wheel,Black,12,37006
45786524,OPEL,Astra,1998,Sedan,Yes,Petrol,1.6,175000 km,4,Manual,Front,4,Left wheel,Blue,4,9408
45647803,BMW,X5,2009,Jeep,Yes,Diesel,3,229854 km,6,Automatic,4x4,4,Left wheel,Green,0,1803
45728728,TOYOTA,Prius,2013,Hatchback,No,Hybrid,1.8,72000 km,4,Automatic,Front,4,Left wheel,White,12,23207
45801686,HYUNDAI,Elantra,2012,Sedan,Yes,Petrol,1.6,112645 km,4,Automatic,Front,4,Left wheel,Silver,4,18826
45253360,LEXUS,LX 570,2013,Jeep,Yes,Petrol,5.7,198600 km,8,Tiptronic,4x4,4,Left wheel,Black,12,106627
45774250,DODGE,RAM,2012,Sedan,Yes,Petrol,5.7,186251 km,8,Automatic,Rear,4,Left wheel,Blue,12,7056
45733624,HYUNDAI,Sonata,2016,Sedan,Yes,Petrol,2,41891 km,4,Automatic,Front,4,Left wheel,Grey,4,55343
45770467,SUBARU,Forester,2003,Sedan,No,Petrol,2.0 Turbo,174000 km,4,Automatic,4x4,4,Right-hand drive,Black,2,7840
45775377,NISSAN,Versa,2012,Sedan,No,Petrol,1.6,12000 km,4,Automatic,Front,4,Left wheel,Black,8,11290
45641382,TOYOTA,Camry,2019,Sedan,Yes,Hybrid,2.5,9626 km,4,Automatic,Front,4,Left wheel,Black,12,3450
45648481,BMW,X5,2012,Jeep,Yes,Diesel,3,273962 km,6,Automatic,4x4,4,Left wheel,White,0,220
45808501,FORD,Escape,2013,Jeep,Yes,Petrol,2,69813 km,4,Automatic,Front,4,Left wheel,Green,12,392
45770347,SUZUKI,XL7,2005,Jeep,No,Petrol,2.7,150000 km,6,Automatic,4x4,4,Left wheel,White,4,12544
45801533,HYUNDAI,Elantra,2011,Sedan,Yes,Petrol,1.6,120000 km,4,Automatic,Front,4,Left wheel,Grey,4,15612
45781789,VOLKSWAGEN,Golf GTI,2016,Hatchback,No,Petrol,2,113600 km,4,Tiptronic,Front,4,Left wheel,Black,8,7527
45774693,HYUNDAI,Tucson,2007,Jeep,Yes,Petrol,2.7,199000 km,6,Tiptronic,4x4,4,Left wheel,Black,6,19757
45802856,HYUNDAI,Santa FE,2016,Jeep,Yes,Diesel,2,121902 km,4,Automatic,Front,4,Left wheel,Black,4,50037
45815365,MAZDA,Demio evropuli,2003,Hatchback,No,CNG,1.4,185000 km,4,Manual,Front,4,Left wheel,Blue,4,7213
45788014,HYUNDAI,Sonata,2012,Sedan,Yes,Hybrid,2.4,230400 km,4,Tiptronic,Front,4,Left wheel,Black,6,16308
45769599,TOYOTA,Tundra,2017,Sedan,Yes,Petrol,4.6,190875 km,8,Automatic,4x4,4,Left wheel,White,12,6429
42836676,BMW,640,2012,Sedan,Yes,Petrol,3.0 Turbo,190000 km,6,Tiptronic,Rear,4,Left wheel,Grey,12,51746
30551412,TOYOTA,Land Cruiser 200,2018,Jeep,Yes,Petrol,4,15000 km,8,Automatic,4x4,4,Left wheel,Black,12,370
45640923,BMW,X5,2013,Jeep,Yes,Diesel,3,137802 km,6,Automatic,4x4,4,Left wheel,Black,0,1019
45802290,HYUNDAI,H1,2016,Universal,Yes,Diesel,2.5,133687 km,4,Automatic,Front,4,Left wheel,Grey,4,44843
